year,situados_paid,silver_minted,was_american_revolution
1720,1226215,7874315,0
1721,1046440,9460730,0
1722,376311,8823927,0
1723,921332,81073720,0
1724,928764,93737398,0
1725,698335,997383822,0
1726,690360,765343,0
1727,702108,7735454,0
1728,353345,634554,0
1729,640906,7355373,0
